id,age,region,industry,company_size,acquisition_channel,visits_30d,emails_opened_30d,avg_session_min,support_tickets_90d,last_purchase_days,orders_12m,total_spend_12m,converted,cluster
1,22.0,Northeast,Finance,201-1000,ads,8,0,3.58,0,87,0,572.79,0,1
2,58.0,Midwest,Education,11-50,ads,3,3,4.68,1,20,2,292.04,1,1
3,,Northeast,Finance,201-1000,web,5,3,2.78,0,14,1,21.51,0,1
4,40.0,Northeast,Finance,11-50,web,11,3,5.45,0,149,3,803.49,0,0
5,,South,Healthcare,51-200,ads,5,2,5.23,1,23,2,783.64,0,1
6,62.0,Midwest,E-commerce,1-10,ads,10,2,8.64,1,77,1,772.1,0,1
7,22.0,West,E-commerce,51-200,ads,7,3,6.31,2,23,1,601.05,0,2
8,54.0,Midwest,,1-10,web,5,3,6.03,1,63,0,882.84,0,1
9,28.0,South,SaaS,1-10,ads,9,0,5.66,2,86,3,271.25,0,1
10,22.0,South,SaaS,51-200,web,11,4,4.19,2,10,2,774.99,0,2
11,45.0,South,Healthcare,11-50,web,11,3,8.46,1,11,3,1346.42,0,2
12,68.0,South,Education,1-10,ads,4,0,9.16,0,23,4,1023.63,0,1
13,56.0,South,Finance,1000+,partner,4,3,3.83,1,33,3,237.23,0,1
14,57.0,West,Finance,1-10,partner,12,4,10.06,2,4,1,734.53,1,2
15,55.0,Midwest,Finance,51-200,events,7,2,5.02,2,39,2,779.02,0,1
16,58.0,Northeast,SaaS,51-200,events,9,5,4.84,2,22,3,646.76,1,2
17,44.0,South,E-commerce,11-50,referral,9,4,7.54,2,29,3,657.69,0,2
18,24.0,West,SaaS,51-200,partner,14,3,7.74,2,81,4,248.44,0,2
19,61.0,Northeast,Education,1-10,web,7,1,6.34,2,314,3,326.22,0,0
20,41.0,Midwest,Education,201-1000,events,5,5,5.74,1,69,3,354.23,0,1
21,44.0,West,E-commerce,11-50,referral,8,3,9.08,0,59,1,305.33,0,1
22,37.0,South,E-commerce,1-10,partner,7,6,5.13,1,82,1,776.13,0,2
23,27.0,West,E-commerce,11-50,events,9,5,6.35,4,115,1,940.74,0,2
24,66.0,South,Manufacturing,1000+,partner,7,3,10.23,1,56,3,472.3,0,1
25,58.0,South,Healthcare,201-1000,events,9,3,3.56,0,72,6,360.46,0,1
26,51.0,Midwest,Education,1000+,web,5,3,5.49,0,44,3,681.96,0,1
27,38.0,West,Healthcare,51-200,web,6,1,8.76,2,40,3,663.92,0,1
28,60.0,Midwest,Education,51-200,partner,13,0,7.66,3,19,1,692.24,0,1
29,46.0,South,Finance,51-200,ads,11,4,8.47,1,30,3,752.89,0,2
30,41.0,Midwest,E-commerce,1000+,web,5,5,3.59,2,119,2,492.48,0,1
31,41.0,South,Manufacturing,51-200,partner,7,1,7.21,1,50,1,634.87,1,1
32,29.0,South,Education,11-50,web,9,2,5.87,1,9,2,860.97,1,2
33,22.0,South,Education,51-200,events,9,2,11.5,3,38,2,722.54,1,2
34,46.0,West,Manufacturing,51-200,web,12,3,8.28,3,134,4,420.31,0,0
35,64.0,Midwest,E-commerce,1-10,ads,7,0,6.45,0,16,3,569.13,0,1
36,21.0,South,SaaS,11-50,events,6,3,7.13,0,80,6,349.42,0,0
37,62.0,Midwest,Finance,11-50,ads,10,3,6.62,0,210,0,971.14,0,0
38,61.0,Midwest,,201-1000,partner,10,0,8.04,1,27,4,770.09,1,1
39,32.0,Midwest,Healthcare,11-50,partner,6,4,4.62,2,39,3,1193.06,0,2
40,50.0,Northeast,E-commerce,201-1000,events,8,2,9.5,0,93,7,911.49,0,0
41,26.0,Northeast,Healthcare,11-50,ads,10,3,3.59,1,14,1,1019.12,1,2
42,57.0,South,Healthcare,201-1000,events,9,2,6.95,1,103,3,650.1,0,0
43,54.0,South,Healthcare,1-10,ads,6,3,4.69,0,25,1,446.93,0,1
44,36.0,South,Education,1000+,events,3,3,6.59,0,0,3,275.68,0,1
45,21.0,Northeast,Finance,51-200,partner,11,0,8.67,3,222,5,211.64,0,0
46,68.0,Midwest,Healthcare,11-50,web,7,3,2.73,0,34,2,814.06,0,1
47,,Northeast,SaaS,11-50,partner,7,3,6.13,1,44,1,562.42,0,1
48,64.0,West,Finance,11-50,events,7,5,3.33,1,17,4,136.03,0,1
49,53.0,West,E-commerce,11-50,web,6,4,5.89,1,24,1,832.81,0,1
50,58.0,Midwest,E-commerce,201-1000,events,8,3,3.33,1,47,5,948.87,1,2
51,57.0,South,Healthcare,1000+,web,7,4,6.86,0,175,1,230.98,0,0
52,28.0,Northeast,SaaS,51-200,events,10,4,5.56,0,51,2,1046.28,0,2
53,36.0,Midwest,Healthcare,51-200,partner,4,6,8.14,0,9,1,1210.47,0,2
54,,Northeast,E-commerce,11-50,web,9,0,9.2,3,75,3,195.91,0,1
55,43.0,Midwest,Manufacturing,201-1000,partner,9,0,6.52,2,105,2,411.64,1,1
56,20.0,South,Manufacturing,201-1000,web,5,2,8.47,0,118,0,367.86,0,0
57,46.0,West,SaaS,11-50,ads,8,3,9.54,1,79,3,805.65,0,2
58,26.0,Northeast,Finance,1000+,events,12,8,4.47,0,32,2,661.64,0,2
59,,South,Finance,11-50,referral,4,6,9.66,1,36,3,437.39,0,1
