,count,unique,top,freq,mean,std,min,25%,50%,75%,max
id,2000.0,,,,1000.5,577.4945887192364,1.0,500.75,1000.5,1500.25,2000.0
age,1934.0,,,,43.446742502585316,15.124761621646224,18.0,30.0,43.0,57.0,69.0
region,2000,4,South,590,,,,,,,
industry,1942,6,SaaS,355,,,,,,,
company_size,2000,5,11-50,517,,,,,,,
acquisition_channel,2000,5,web,422,,,,,,,
visits_30d,2000.0,,,,8.027,2.839947825546433,0.0,6.0,8.0,10.0,18.0
emails_opened_30d,2000.0,,,,3.0165,1.7722297111476653,0.0,2.0,3.0,4.0,11.0
avg_session_min,1939.0,,,,6.525977307890665,2.1839430241221356,0.5,5.03,6.47,8.01,15.49
support_tickets_90d,2000.0,,,,1.2195,1.0995108967654905,0.0,0.0,1.0,2.0,6.0
last_purchase_days,2000.0,,,,61.5445,59.6145952744365,0.0,18.0,43.0,87.0,365.0
orders_12m,2000.0,,,,2.186,1.4786809150808409,0.0,1.0,2.0,3.0,9.0
total_spend_12m,2000.0,,,,633.8091750000001,271.1027924301059,0.0,438.305,625.78,818.3825,1628.79
converted,2000.0,,,,0.1935,0.3951402509349743,0.0,0.0,0.0,0.0,1.0
