customer_id,age,income,past_purchases,membership_years,avg_order_value,last_login_days_ago,converted,region_East,region_North,region_South,region_Unknown,region_West,channel_ads,channel_email,channel_organic,channel_partner,channel_referral,notes_Frequent returns,notes_High engagement,notes_Late payer,notes_Unknown,notes_VIP client
CUST_1000,63.0,81485.02,7,5,129.36,280,1,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False
CUST_1001,20.0,62520.59,7,8,144.97,10,1,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False
CUST_1002,46.0,88051.37,3,3,152.48,143,1,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False
CUST_1003,52.0,22552.8,4,7,39.11,63,1,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False
CUST_1004,56.0,89806.62,4,6,83.23,294,1,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False
CUST_1005,35.0,136957.6,5,6,163.29,310,1,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True
CUST_1006,37.0,71384.35,3,1,111.98,256,0,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False
CUST_1007,60.0,72853.55,4,8,96.67,42,1,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False
CUST_1008,40.0,76488.74,4,8,72.64,9,1,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False
CUST_1009,51.0,25450.61,9,6,163.22,138,1,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False
CUST_1010,47.0,70686.395,2,5,122.93,263,1,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False
CUST_1011,67.0,31864.76,4,8,123.19,282,1,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True
CUST_1012,65.0,61308.01,6,5,123.11,235,1,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False
CUST_1013,27.0,103071.74,5,0,155.09,146,1,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False
CUST_1014,50.0,53619.58,5,2,87.78,281,0,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True
CUST_1015,64.0,84531.22,4,1,86.51,124,1,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False
CUST_1016,50.0,97318.48,6,2,144.42,355,1,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False
CUST_1017,65.0,78968.52,6,8,83.91,225,1,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False
CUST_1018,43.0,37726.29,3,9,162.08,18,0,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False
CUST_1019,37.0,63688.12,4,4,183.04,324,1,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False
CUST_1020,32.0,120985.28,4,7,53.17,79,1,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False
CUST_1021,54.0,21373.86,4,0,115.2,116,1,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False
CUST_1022,50.0,65105.35,8,8,109.78,343,1,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False
CUST_1023,34.0,58197.3,9,8,65.82,94,1,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False
CUST_1024,22.0,75018.68,7,9,178.42,249,1,False,False,False,False,True,True,False,False,False,False,False,True,False,False,False
