customer_id,age,income,past_purchases,region,channel,membership_years,avg_order_value,last_login_days_ago,notes,converted
CUST_1000,63.0,81485.02,7,South,organic,5,129.36,280,Frequent returns,1
CUST_1001,20.0,62520.59,7,South,ads,8,144.97,10,Frequent returns,1
CUST_1002,46.0,88051.37,3,South,partner,3,152.48,143,Frequent returns,1
CUST_1003,52.0,22552.8,4,West,partner,7,39.11,63,Frequent returns,1
CUST_1004,56.0,89806.62,4,South,organic,6,83.23,294,,1
CUST_1005,35.0,136957.6,5,,referral,6,163.29,310,VIP client,1
CUST_1006,37.0,71384.35,3,North,ads,1,111.98,256,Frequent returns,0
CUST_1007,60.0,72853.55,4,East,ads,8,96.67,42,High engagement,1
CUST_1008,40.0,76488.74,4,East,referral,8,72.64,9,Frequent returns,1
CUST_1009,51.0,25450.61,9,West,referral,6,163.22,138,High engagement,1
CUST_1010,,,2,West,referral,5,,263,High engagement,1
CUST_1011,67.0,31864.76,4,East,email,8,123.19,282,VIP client,1
CUST_1012,65.0,61308.01,6,,organic,5,123.11,235,Frequent returns,1
CUST_1013,27.0,103071.74,5,North,partner,0,155.09,146,Late payer,1
CUST_1014,50.0,53619.58,5,,email,2,87.78,281,VIP client,0
CUST_1015,64.0,84531.22,4,East,partner,1,86.51,124,,1
CUST_1016,50.0,97318.48,6,East,ads,2,144.42,355,High engagement,1
CUST_1017,65.0,78968.52,6,North,ads,8,83.91,225,Frequent returns,1
CUST_1018,43.0,37726.29,3,North,ads,9,162.08,18,High engagement,0
CUST_1019,37.0,63688.12,4,West,email,4,183.04,324,Late payer,1
CUST_1020,32.0,120985.28,4,West,ads,7,53.17,79,,1
CUST_1021,54.0,21373.86,4,,partner,0,115.2,116,Frequent returns,1
CUST_1022,50.0,65105.35,8,East,partner,8,109.78,343,Frequent returns,1
CUST_1023,34.0,58197.3,9,,referral,8,65.82,94,Late payer,1
CUST_1024,22.0,75018.68,7,West,ads,9,178.42,249,High engagement,1
CUST_1025,67.0,90705.39,4,South,partner,3,157.82,52,Frequent returns,1
CUST_1026,73.0,112217.27,3,North,ads,7,137.5,22,VIP client,1
CUST_1027,21.0,65244.19,5,East,organic,8,105.81,258,High engagement,1
CUST_1028,20.0,92308.53,7,East,email,9,139.19,90,VIP client,1
CUST_1029,,,5,South,organic,6,,246,,1
CUST_1030,57.0,83858.68,4,East,referral,3,120.09,348,,1
CUST_1031,20.0,57901.9,4,East,organic,8,181.27,348,High engagement,1
CUST_1032,38.0,47066.96,5,South,ads,7,122.75,327,High engagement,0
CUST_1033,65.0,44498.92,5,West,partner,0,73.27,238,VIP client,0
CUST_1034,74.0,53089.07,13,North,email,5,93.48,333,VIP client,1
CUST_1035,66.0,80042.16,6,West,referral,8,136.76,152,VIP client,1
CUST_1036,25.0,91023.73,4,South,referral,9,105.54,125,VIP client,1
CUST_1037,59.0,80086.72,5,,email,4,145.73,69,,1
CUST_1038,53.0,58276.12,4,North,partner,1,23.49,262,Late payer,0
CUST_1039,46.0,117149.25,4,,referral,4,68.24,335,,1
CUST_1040,70.0,109971.64,4,East,partner,5,105.76,49,Frequent returns,1
CUST_1041,56.0,63150.0,9,North,referral,4,49.27,217,,1
CUST_1042,51.0,51414.21,6,,partner,0,119.21,293,,0
CUST_1043,39.0,75255.37,7,,ads,6,184.65,56,,1
CUST_1044,72.0,103682.47,6,,referral,4,106.46,149,,1
CUST_1045,48.0,80319.12,4,East,organic,2,151.16,295,High engagement,1
CUST_1046,45.0,85913.72,7,North,referral,8,122.66,349,,1
CUST_1047,52.0,66698.0,6,West,partner,3,165.29,27,Frequent returns,1
CUST_1048,51.0,83406.77,7,East,email,7,101.89,269,High engagement,1
CUST_1049,30.0,110613.61,4,North,email,2,146.19,48,High engagement,1
CUST_1050,58.0,66008.28,5,,partner,4,24.97,63,High engagement,1
CUST_1051,21.0,75582.69,8,South,ads,5,91.7,278,Frequent returns,1
CUST_1052,60.0,78345.41,3,South,organic,1,158.2,69,High engagement,1
CUST_1053,23.0,79093.13,5,East,referral,3,173.67,241,,1
CUST_1054,,,6,West,referral,5,,144,Late payer,1
CUST_1055,29.0,25078.28,2,West,partner,5,71.24,178,Frequent returns,1
CUST_1056,52.0,46508.62,6,North,referral,1,150.23,301,,0
CUST_1057,28.0,76198.56,5,South,partner,7,149.72,318,VIP client,1
CUST_1058,40.0,85846.4,5,,partner,4,110.79,289,High engagement,1
CUST_1059,31.0,58733.14,11,West,partner,3,143.77,69,Late payer,1
CUST_1060,36.0,106431.44,5,West,email,3,76.34,121,VIP client,1
CUST_1061,54.0,68420.6,9,South,referral,4,112.25,311,VIP client,1
CUST_1062,33.0,72507.9,5,,email,5,66.94,322,VIP client,1
CUST_1063,61.0,67150.9,7,North,partner,8,105.55,50,VIP client,1
CUST_1064,45.0,75350.67,2,North,partner,2,127.28,232,VIP client,0
